length,run,time
2,1,0.000244140625
4,1,0.00038695335388183594
8,1,0.0007929801940917969
16,1,0.0008432865142822266
32,1,0.0027425289154052734
64,1,0.0032291412353515625
128,1,0.006125450134277344
256,1,0.00843501091003418
512,1,0.01987624168395996
1024,1,0.043981075286865234
2048,1,0.058485984802246094
4096,1,0.14740324020385742
8192,1,0.36488795280456543
16384,1,0.5854613780975342
32768,1,1.5092005729675293
65536,1,2.6068389415740967
131072,1,6.846201658248901
2,2,0.0003132820129394531
4,2,0.0004343986511230469
8,2,0.0007812976837158203
16,2,0.0007615089416503906
32,2,0.00497889518737793
64,2,0.00503087043762207
128,2,0.007056236267089844
256,2,0.010208606719970703
512,2,0.016283273696899414
1024,2,0.03370356559753418
2048,2,0.12422752380371094
4096,2,0.3732266426086426
8192,2,0.26596713066101074
16384,2,0.5432333946228027
32768,2,1.1816802024841309
65536,2,2.6315665245056152
131072,2,5.470279932022095
2,3,0.0003771781921386719
4,3,0.0007119178771972656
8,3,0.0005481243133544922
16,3,0.0007309913635253906
32,3,0.0025196075439453125
64,3,0.0032188892364501953
128,3,0.007831335067749023
256,3,0.010309696197509766
512,3,0.02479720115661621
1024,3,0.051326751708984375
2048,3,0.06560850143432617
4096,3,0.1706681251525879
8192,3,0.25013184547424316
16384,3,1.1799848079681396
32768,3,1.1228303909301758
65536,3,3.2301976680755615
131072,3,4.37431001663208
2,4,0.00021600723266601562
4,4,0.0004942417144775391
8,4,0.0006225109100341797
16,4,0.0014302730560302734
32,4,0.002791166305541992
64,4,0.003221750259399414
128,4,0.005581855773925781
256,4,0.009247303009033203
512,4,0.014839649200439453
1024,4,0.027651548385620117
2048,4,0.05408906936645508
4096,4,0.12377715110778809
8192,4,0.251605749130249
16384,4,0.4509851932525635
32768,4,0.9889364242553711
65536,4,2.0048599243164062
131072,4,5.734575271606445
2,5,0.0002834796905517578
4,5,0.0004143714904785156
8,5,0.0009481906890869141
16,5,0.0006768703460693359
32,5,0.0035507678985595703
64,5,0.0032470226287841797
128,5,0.004834651947021484
256,5,0.008762121200561523
512,5,0.016907215118408203
1024,5,0.039046287536621094
2048,5,0.052217721939086914
4096,5,0.12219953536987305
8192,5,0.2436506748199463
16384,5,0.4215569496154785
32768,5,0.9193415641784668
65536,5,2.1059627532958984
131072,5,4.551942825317383
