length,run,time
2,1,0.0009975433349609375
4,1,0.0008003711700439453
8,1,0.0005621910095214844
16,1,0.0007452964782714844
32,1,0.004869699478149414
64,1,0.0039288997650146484
128,1,0.007294178009033203
256,1,0.01420450210571289
512,1,0.023999691009521484
1024,1,0.03128409385681152
2048,1,0.06291532516479492
4096,1,0.12407755851745605
8192,1,0.6153743267059326
16384,1,0.6473844051361084
32768,1,1.2977707386016846
65536,1,2.601189374923706
131072,1,5.5565690994262695
2,2,0.0009198188781738281
4,2,0.0006418228149414062
8,2,0.0007321834564208984
16,2,0.0011315345764160156
32,2,0.0033462047576904297
64,2,0.00535273551940918
128,2,0.00786733627319336
256,2,0.011373043060302734
512,2,0.018454790115356445
1024,2,0.034877777099609375
2048,2,0.07581305503845215
4096,2,0.13406038284301758
8192,2,0.377948522567749
16384,2,0.5882992744445801
32768,2,1.3994910717010498
65536,2,3.0656301975250244
131072,2,5.419623851776123
2,3,0.00027942657470703125
4,3,0.0005807876586914062
8,3,0.00063323974609375
16,3,0.0022428035736083984
32,3,0.002643585205078125
64,3,0.005372762680053711
128,3,0.005234479904174805
256,3,0.00934600830078125
512,3,0.018765926361083984
1024,3,0.03645944595336914
2048,3,0.07204627990722656
4096,3,0.2877469062805176
8192,3,0.24577760696411133
16384,3,0.5137391090393066
32768,3,0.871267557144165
65536,3,1.9229576587677002
131072,3,5.771849155426025
2,4,0.001081705093383789
4,4,0.0004012584686279297
8,4,0.0005908012390136719
16,4,0.0007429122924804688
32,4,0.0026702880859375
64,4,0.0037539005279541016
128,4,0.015363454818725586
256,4,0.012325286865234375
512,4,0.05586504936218262
1024,4,0.029649734497070312
2048,4,0.06155228614807129
4096,4,0.20052766799926758
8192,4,0.3386197090148926
16384,4,0.5815980434417725
32768,4,1.0233111381530762
65536,4,2.0039589405059814
131072,4,4.160704135894775
2,5,0.000217437744140625
4,5,0.0004134178161621094
8,5,0.0006051063537597656
16,5,0.0007524490356445312
32,5,0.003871440887451172
64,5,0.003916501998901367
128,5,0.00555419921875
256,5,0.009273290634155273
512,5,0.01616644859313965
1024,5,0.03157758712768555
2048,5,0.058714866638183594
4096,5,0.11314749717712402
8192,5,0.26721715927124023
16384,5,0.44884467124938965
32768,5,1.1247243881225586
65536,5,2.3608992099761963
131072,5,4.351884365081787
